Date,Month,Year,EMS,Wind,Temp_mean,H2O,Sunspots,Sud_Imp,Sud_Storm,Dst_mean,Dst_var,Dst_group,PC1,PC2
2007-02-19,2,2007,7,2,-13.5,0,34,No,No,-9,9,level_1,0.28513630573008214,-0.009204371576038858
2007-02-20,2,2007,8,4,-13.3,0.2,29,No,No,-7,8,level_1,1.0697025217199008,0.4933491266611156
2007-02-21,2,2007,19,5,-10.6,1.3,17,No,No,-4,9,level_1,1.9257758930857318,0.256371721219489
2007-02-22,2,2007,4,3,-14.2,0,27,No,No,-4,16,level_1,1.9485312993907555,-0.8755206662751421
2007-02-23,2,2007,5,3,-13.6,0.2,26,No,No,-5,11,level_1,1.546750727606308,-0.2303368598250813
2007-02-24,2,2007,4,3,-13,0,14,No,No,-4,10,level_1,1.8764918182862034,0.7764164851697646
2007-02-25,2,2007,3,5,-9.1,5.4,14,No,No,-5,19,level_1,1.4868824640494285,0.15773118731766556
2007-02-26,2,2007,14,4,-13.4,0,26,No,No,-7,23,level_1,0.7770557869944255,-0.42319915133620245
2007-02-27,2,2007,10,6,-6.8,0,26,No,No,-3,31,level_1,2.4496917892031256,-1.5532244569903284
2007-02-28,2,2007,1,3,-7.2,1.4,14,No,No,-25,21,level_2,-4.777611691101888,0.28340898721206986
2007-03-01,3,2007,6,4,-11.8,0,11,No,No,-22,16,level_2,-3.9371175335189363,0.06826581642774757
2007-03-02,3,2007,2,2,-13.6,0,11,No,No,-14,8,level_1,-1.4915771118476144,-0.10507036764962895
2007-03-03,3,2007,9,3,-13.7,0,11,No,No,-7,10,level_1,0.8148913887520257,0.37891263720772317
2007-03-04,3,2007,2,3,-18.4,0,13,No,No,-4,15,level_1,1.8082261655165244,-0.4170179998555682
2007-03-05,3,2007,5,2,-16.8,0,27,No,No,-6,19,level_1,1.041164506043768,-1.133501533684471
2007-03-06,3,2007,3,3,-10.8,0,22,No,No,-16,23,level_2,-2.0584410663108548,0.4791466346518505
2007-03-07,3,2007,8,2,-8.2,0.7,0,No,No,-24,13,level_2,-4.64551822730224,-0.41211236886467034
2007-03-08,3,2007,2,4,-11,0.8,0,No,No,-20,14,level_2,-3.1877384045894193,1.0719720437825744
2007-03-09,3,2007,1,5,-13.1,1.1,0,No,No,-15,10,level_1,-1.4818666006718306,-0.07190859351303375
2007-03-10,3,2007,7,2,-10.2,0,0,No,No,-12,10,level_1,-0.7843443065849344,0.6489472530713266
2007-03-11,3,2007,2,2,-5.5,0,14,No,No,-10,18,level_1,0.013386189777745888,0.5925091398257845
2007-03-12,3,2007,0,2,-6.8,0.7,13,No,No,-4,24,level_1,1.790475469549655,-0.7396525239068434
2007-03-13,3,2007,10,4,-10.3,0,0,No,No,-20,33,level_2,-3.229891040900459,1.3784175285517342
2007-03-14,3,2007,4,2,-10.3,0,0,No,No,-15,14,level_2,-1.6753358456231338,0.8824737668482519
2007-03-15,3,2007,6,2,-7.5,0,0,No,No,-9,18,level_1,0.17277439938532105,0.7894588963468747
2007-03-16,3,2007,9,2,-5.9,0,0,No,No,-13,8,level_1,-1.1281424507806943,-0.07839770196547614
2007-03-17,3,2007,8,3,-5.1,0,0,No,No,-11,10,level_1,-0.43371383364766514,0.3058074622966158
